seed,split,model,acc,macro_f1
0,random,1-NN (memorisation probe),0.8138754196195449,0.7730278321703156
0,random,Logistic Regression,0.6718885987815492,0.6068291085374558
0,random,Linear SVM,0.7089394504538108,0.6701946084555422
0,random,ESM-2 650M frozen + linear probe,0.8509262712918065,0.8051113245595181
0,cluster,1-NN (memorisation probe),0.31085637221847606,0.23395284385210818
0,cluster,Logistic Regression,0.35218187072536367,0.2084478155682404
0,cluster,Linear SVM,0.334168191889028,0.21806261312133945
0,cluster,ESM-2 650M frozen + linear probe,0.7320104036220018,0.5877731308182799
1,random,1-NN (memorisation probe),0.8097724729578516,0.7650727392954461
1,random,Logistic Regression,0.6710182767624021,0.6035607888803045
1,random,Linear SVM,0.7094367773218948,0.6650105970330764
1,random,ESM-2 650M frozen + linear probe,0.8478179783662813,0.802149792004149
1,cluster,1-NN (memorisation probe),0.2976472226089378,0.2576018471879341
1,cluster,Logistic Regression,0.3285535291660866,0.18355346966895952
1,cluster,Linear SVM,0.31310037588751216,0.22497822533106202
1,cluster,ESM-2 650M frozen + linear probe,0.5955728804120841,0.5149220098227636
2,random,1-NN (memorisation probe),0.8067885117493473,0.7656062419420375
2,random,Logistic Regression,0.6619420614198682,0.5953585404332136
2,random,Linear SVM,0.6991172448091508,0.6607696898060456
2,random,ESM-2 650M frozen + linear probe,0.8425960462513987,0.7969516495265783
2,cluster,1-NN (memorisation probe),0.3251679731243001,0.2717853899454331
2,cluster,Logistic Regression,0.335946248600224,0.20966565653692681
2,cluster,Linear SVM,0.3191489361702128,0.2311514711766729
2,cluster,ESM-2 650M frozen + linear probe,0.6475363941769317,0.56480771849341
3,random,1-NN (memorisation probe),0.804799204277011,0.764178044203484
3,random,Logistic Regression,0.6610717394007212,0.5916900646239933
3,random,Linear SVM,0.6982469227900038,0.6549553593159646
3,random,ESM-2 650M frozen + linear probe,0.8419743876662936,0.7925279328249323
3,cluster,1-NN (memorisation probe),0.29014084507042254,0.23024169779596546
3,cluster,Logistic Regression,0.3497856705450092,0.21253421667058287
3,cluster,Linear SVM,0.33998775260257197,0.24610382594648947
3,cluster,ESM-2 650M frozen + linear probe,0.6591549295774648,0.5761346881661488
4,random,1-NN (memorisation probe),0.8118861121472087,0.7690046193334782
4,random,Logistic Regression,0.6665423349496457,0.6055127514941947
4,random,Linear SVM,0.7075718015665796,0.6740575765149984
4,random,ESM-2 650M frozen + linear probe,0.8401094119109785,0.7956057496227027
4,cluster,1-NN (memorisation probe),0.4147917663954045,0.27809233323005705
4,cluster,Logistic Regression,0.46014839636189564,0.2629758511906938
4,cluster,Linear SVM,0.44315461943513645,0.28144448193668553
4,cluster,ESM-2 650M frozen + linear probe,0.7134992819530876,0.5871199476644782
5,random,1-NN (memorisation probe),0.8181026979982594,0.7777022678452813
5,random,Logistic Regression,0.670893945045381,0.6062816688473562
5,random,Linear SVM,0.7062041526793486,0.6643761181947148
5,random,ESM-2 650M frozen + linear probe,0.845580007459903,0.7980400025969062
5,cluster,1-NN (memorisation probe),0.3131510416666667,0.24140681587158888
5,cluster,Logistic Regression,0.34856770833333334,0.22636005722456654
5,cluster,Linear SVM,0.313671875,0.24132371364985192
5,cluster,ESM-2 650M frozen + linear probe,0.6423177083333333,0.5706294151055257
6,random,1-NN (memorisation probe),0.804177545691906,0.7620394235310355
6,random,Logistic Regression,0.6562228024369017,0.5911679850304126
6,random,Linear SVM,0.6999875668282979,0.6591188623090529
6,random,ESM-2 650M frozen + linear probe,0.835260474947159,0.7830401764108599
6,cluster,1-NN (memorisation probe),0.2984550561797753,0.23174408046073305
6,cluster,Logistic Regression,0.3470505617977528,0.20921878565263657
6,cluster,Linear SVM,0.33103932584269663,0.2427453837546958
6,cluster,ESM-2 650M frozen + linear probe,0.6492977528089887,0.5582094843509657
7,random,1-NN (memorisation probe),0.8113887852791247,0.7722738012620497
7,random,Logistic Regression,0.6751212234240955,0.6106790658589996
7,random,Linear SVM,0.7084421235857267,0.6651757178024734
7,random,ESM-2 650M frozen + linear probe,0.8478179783662813,0.804741249691447
7,cluster,1-NN (memorisation probe),0.3379578800279469,0.2649377505672371
7,cluster,Logistic Regression,0.3839704561333466,0.22665277711819504
7,cluster,Linear SVM,0.38806268090627805,0.24394332084089557
7,cluster,ESM-2 650M frozen + linear probe,0.7385966663339655,0.6134808479732307
8,random,1-NN (memorisation probe),0.8113887852791247,0.7682599098826005
8,random,Logistic Regression,0.6727589208006962,0.6118075934989522
8,random,Linear SVM,0.7098097724729578,0.6733970408646459
8,random,ESM-2 650M frozen + linear probe,0.8471963197811762,0.8016037168348452
8,cluster,1-NN (memorisation probe),0.406841046277666,0.3056021689755306
8,cluster,Logistic Regression,0.4357142857142857,0.2606298953585407
8,cluster,Linear SVM,0.4191146881287726,0.2894054759295706
8,cluster,ESM-2 650M frozen + linear probe,0.6994969818913481,0.6067331254263497
9,random,1-NN (memorisation probe),0.814870073355713,0.7790293229128251
9,random,Logistic Regression,0.6670396618177297,0.5982292249589223
9,random,Linear SVM,0.710804426209126,0.6760116310862199
9,random,ESM-2 650M frozen + linear probe,0.8425960462513987,0.7937401345859268
9,cluster,1-NN (memorisation probe),0.3265993265993266,0.2705393370388801
9,cluster,Logistic Regression,0.3681257014590348,0.2229702638959335
9,cluster,Linear SVM,0.35266242673650083,0.2520597939526455
9,cluster,ESM-2 650M frozen + linear probe,0.6712807083177453,0.5790263043452375
0,random,ESM-2 650M frozen + 1-NN,0.8698246922790004,0.8341921763645825
0,cluster,ESM-2 650M frozen + 1-NN,0.7212214622868702,0.5970583315136067
1,random,ESM-2 650M frozen + 1-NN,0.8697003605619794,0.8306261084455342
1,cluster,ESM-2 650M frozen + 1-NN,0.6158986495893081,0.5751408551091702
2,random,ESM-2 650M frozen + 1-NN,0.8634837747109287,0.8267378989996594
2,cluster,ESM-2 650M frozen + 1-NN,0.6359182530795073,0.5786660352810155
3,random,ESM-2 650M frozen + 1-NN,0.8618674623896556,0.8237586260741242
3,cluster,ESM-2 650M frozen + 1-NN,0.6434782608695652,0.589316123867563
4,random,ESM-2 650M frozen + 1-NN,0.8689543702598533,0.8318262577270282
4,cluster,ESM-2 650M frozen + 1-NN,0.685854475825754,0.5749754852055009
5,random,ESM-2 650M frozen + 1-NN,0.866592067636454,0.8277573599963801
